POPULATION,LAND_AREA,WATER_AREA,BIRTH_RATE,DEATH_RATE,POPULATION_DENSITY_(sq_km),BIRTH_RATE / POPULATION_DENSITY,DEATH_RATE / POPULATION_DENSITY,(BIRTH_RATE / POPULATION_DENSITY) – (DEATH_RATE / POPULATION_DENSITY),GDP,GDP / POPULATION,COUNTRY,big num bad,hrr,Gdp population Rank,birth death land area rank,,,,
70864,4,0,11.3,8.6,17716,0.0006378415,0.0004854369,0.0001524046,6127000000,86461.3908331452,Bermuda,567314814.814815,2,8,206,,,,
758288,38394,0,17.3,6.5,19.7501692973,0.8759418585,0.3291111029,0.5468307556,7030000000,9270.8838858059,Bhutan,16953.8450259516,149,163,41,,,,
11138234,1083301,15280,22,6.4,10.28175364,2.1397128126,0.6224619091,1.5172509035,83550000000,7501.1891472203,Bolivia,4943.9345396642,177,176,19,,,,
3856181,51187,10,8.8,10,75.335163225,0.1168113219,0.1327401385,-0.0159288166,44620000000,11571.0336210878,Bosnia and Herzegovina,-726421.422105511,227,154,222,,,,
2214858,566730,15000,22.1,9.6,3.9081361495,5.6548695221,2.45641391,3.198455612,38860000000,17545.1428488869,Botswana,5485.5045612701,176,122,8,,,,
207353391,8358140,157630,14.1,6.7,24.8085568081,0.568352287,0.270068108,0.298284179,3240000000000,15625.4980175366,Brazil,52384.6020571502,119,130,60,,,,
35015,151,0,11.1,5.1,231.8874172185,0.0478680565,0.0219934314,0.0258746252,500000000,14279.5944595173,British Virgin Islands,551876.379690847,60,138,159,,,,
443593,5265,500,17,3.6,84.2531813865,0.2017727962,0.0427283568,0.1590444394,33540000000,75609.8495693124,Brunei,475400.773908154,66,10,92,,,,
7101510,108489,2390,8.7,14.5,65.4583413987,0.1329089588,0.2215149313,-0.0886059725,153100000000,21558.7952421386,Bulgaria,-243310.858466307,214,110,239,,,,
20107509,273800,400,41.2,11.2,73.4386742148,0.5610123064,0.1525081998,0.4085041066,35780000000,1779.4347375401,Burkina Faso,4355.9775992235,179,229,51,,,,
55123814,653508,23070,18.1,7.4,84.3506338101,0.214580486,0.0877290385,0.1268514475,328700000000,5962.9400824841,Burma,47007.2687223539,125,184,98,,,,
11466756,25680,2150,41.3,8.8,446.5247663551,0.0924920701,0.0197077534,0.0727843167,7990000000,696.7968970474,Burundi,9573.4483584942,162,245,119,,,,
560899,4033,0,20,6,139.0773617654,0.1438048561,0.0431414568,0.1006633993,3735000000,6658.9528596057,Cabo Verde,66150.6854167237,109,181,113,,,,
16204486,176515,4520,23,7.5,91.8023170835,0.2505383386,0.0816972843,0.1688410543,64250000000,3964.951433819,Cambodia,23483.3373385891,146,202,86,,,,
24994885,472710,2730,35.4,9.6,52.87572719,0.6694943385,0.1815577867,0.4879365518,88860000000,3555.1273790618,Cameroon,7286.0443961616,168,205,45,,,,
35623680,9093507,891163,10.3,8.7,3.9174853002,2.6292376897,2.2208124175,0.4084252722,1769000000000,49657.9803097266,Canada,121584.004938109,100,37,52,,,,
58441,264,0,12,5.8,221.3674242424,0.054208518,0.0262007837,0.0280077343,2507000000,42897.9654694478,Cayman Islands,1531647.11632437,36,48,153,,,,
5625118,622984,0,34.3,13.2,9.0293137544,3.798738302,1.4619051192,2.3368331829,3373000000,599.6318655004,Central African Republic,256.6002014568,204,246,11,,,,
12075985,1259200,24800,35.6,13.8,9.5902040978,3.7121212059,1.4389683326,2.2731528733,28560000000,2365.0244679834,Chad,1040.4159332225,200,218,13,,,,
17789267,743812,12290,13.6,6.2,23.9163484859,0.5686486801,0.2592368983,0.3094117818,451100000000,25357.9869254871,Chile,81955.4665149793,106,99,58,,,,
1379302771,9326410,270550,12.3,7.8,147.8921440297,0.0831687179,0.0527411382,0.0304275797,23160000000000,16791.092200307,China,551837.916911952,61,128,151,,,,
47698524,1038700,100210,16.1,5.5,45.9213670935,0.3505993183,0.1197699535,0.2308293649,714000000000,14969.0166513329,Colombia,64848.8404409972,111,133,75,,,,
808080,2235,0,26.1,7.2,361.5570469799,0.0721877784,0.0199138699,0.0522739085,1313000000,1624.8391248391,Comoros,31083.1764970497,136,233,130,,,,
83301151,2267048,77810,33.5,9.6,36.7443261016,0.9117053857,0.2612648269,0.6504405587,68450000000,821.7173373751,Congo Democratic Republic of the,1263.3242597426,198,244,36,,,,
4954674,341500,500,34.4,9.5,14.5085622255,2.3710137135,0.6547857639,1.7162279496,28880000000,5828.8395967121,Congo Republic of the,3396.3085137091,186,186,17,,,,
11700,236,0,14,8.4,49.5762711864,0.2823931624,0.1694358974,0.112957265,299900000,25632.4786324786,Cook Islands,226921.912832744,85,98,105,,,,
4930258,51060,40,15.5,4.7,96.5581276929,0.1605250679,0.0486753432,0.1118497247,83850000000,17007.2235570633,Costa Rica,152054.228141168,94,126,106,,,,
24184810,318003,4460,27.7,9.4,76.0521441622,0.3642237876,0.1235994081,0.2406243795,96920000000,4007.4741128833,Cote d'Ivoire,16654.4808174471,152,199,71,,,,
4292095,55974,620,8.9,12.2,76.680155072,0.1160665363,0.159102443,-0.0430359067,101300000000,23601.5279251741,Croatia,-548414.794314693,223,102,233,,,,
11147407,109820,1040,10.7,8.7,101.506164633,0.105412317,0.0857090801,0.0197032368,137000000000,12289.8535955492,Cuba,623747.951192641,56,147,167,,,,
149648,444,0,13.7,8.4,337.045045045,0.0406473859,0.0249224848,0.0157249011,3128000000,20902.3842617342,Curacao,1329253.78208379,40,112,172,,,,
1221549,9241,10,11.3,6.8,132.1879666703,0.0854843318,0.0514418988,0.034042433,31590000000,25860.6081295142,Cyprus,759658.045666204,50,95,145,,,,
10674723,77247,1620,9.3,10.5,138.1894830867,0.0672988985,0.0759826274,-0.0086837288,375700000000,35195.2926553691,Czechia,-4053016.08260883,239,68,217,,,,
5605948,42434,660,10.5,10.3,132.1098175991,0.0794793316,0.0779654396,0.001513892,286800000000,51159.9465424938,Denmark,33793656.0305429,14,32,194,,,,
865267,23180,20,23.4,7.5,37.3281708369,0.6268723989,0.2009206407,0.4259517582,3632000000,4197.5482712273,Djibouti,9854.515658145,161,198,49,,,,
73897,751,0,15.1,7.9,98.3981358189,0.1534581918,0.0802860739,0.0731721179,785000000,10622.8940281744,Dominica,145176.801301956,96,156,118,,,,
10734247,48320,350,18.4,4.7,222.1491514901,0.0828272351,0.0211569568,0.0616702783,172400000000,16060.744642824,Dominican Republic,260429.255087776,81,129,126,,,,
16290913,276841,6720,17.9,5.1,58.8457381674,0.3041851552,0.0866672789,0.2175178764,192600000000,11822.5418059749,Ecuador,54352.0468427765,117,152,77,,,,
97041072,995450,6000,29.6,4.6,97.4846270531,0.3036376185,0.0471869272,0.2564506913,1201000000,12.3762029339,Egypt,48.259581094,207,247,67,,,,
6172011,20721,320,16.2,5.8,297.8626031562,0.0543874922,0.0194720651,0.0349154271,56990000000,9233.6193179176,El Salvador,264456.719864261,78,164,143,,,,
778358,28051,0,32.2,7.8,27.7479590745,1.1604457075,0.2811017552,0.8793439523,30350000000,38992.3402855755,Equatorial Guinea,44342.5353468495,127,57,31,,,,
5918919,101000,16600,29.6,7.2,58.6031584158,0.5050922305,0.1228602723,0.3822319582,9382000000,1585.0867362774,Eritrea,4146.9236209306,181,236,53,,,,
1251581,42388,2840,10.1,12.6,29.5267764462,0.3420623995,0.4267313102,-0.0846689108,41560000000,33206.0010498721,Estonia,-392186.467868743,221,72,238,,,,
105350020,1000000,104300,36.5,7.7,105.35002,0.3464641013,0.0730896871,0.2733744142,200200000000,1900.3318651482,Ethiopia,6951.3888888889,170,227,64,,,,
80594017,357022,?,8.6,11.7,225.7396378935,0.0380969868,0.0518296215,-0.0137326348,4171000000000,51753.2213340353,Germany,-3768630.14315073,236,31,221,,,,
67106161,643801,?,12.2,9.3,104.2343224071,0.1170439805,0.0892220507,0.0278219298,2836000000000,42261.3953434171,France,1518995.83020678,38,49,154,,,,
64769452,243617,?,12.1,9.4,265.8658960582,0.0455116665,0.0353561707,0.0101554958,2914000000000,44990.3451398663,United Kingdom,4430147.5646586,28,42,176,,,,
62137802,301340,?,8.6,10.4,206.2049578549,0.0417060777,0.0504352568,-0.0087291791,2311000000000,37191.531171315,Italy,-4260598.95430012,241,59,218,,,,
48958159,505370,?,9.2,9.1,96.8758711439,0.094966888,0.0939346392,0.0010322488,1774000000000,36235.0226445402,Spain,35102993.8460875,13,61,198,,,,
38476269,312685,?,9.5,10.4,123.051214481,0.0772036265,0.0845176542,-0.0073140278,1121000000000,29134.8415305029,Poland,-3983419.59337762,238,82,215,,,,
21529967,238391,?,8.9,12,90.3136737545,0.098545432,0.1328702455,-0.0343248134,481500000000,22364.1773347818,Romania,-651545.488903635,225,105,226,,,,
17084719,41543,?,10.9,8.9,411.2538574489,0.0265043107,0.0216411344,0.0048631763,916100000000,53621.0165353027,Netherlands,11025924.9452372,19,25,187,,,,
11491346,30528,?,11.3,9.7,376.4198768344,0.0300196687,0.0257690962,0.0042505726,528500000000,45991.1310650641,Belgium,10819984.9318664,20,40,190,,,,
10839514,92090,?,9,11.1,117.705657509,0.0764619152,0.0943030287,-0.0178411135,313400000000,28912.7353864758,Portugal,-1620567.87097565,234,86,224,,,,
10768477,131957,?,8.4,11.3,81.6059549702,0.1029336646,0.1384702869,-0.0355366223,298700000000,27738.3700592015,Greece,-780557.302757911,228,89,231,,,,
10674723,78867,?,9.3,10.5,135.3509452623,0.06871027,0.0775761113,-0.0088658413,375700000000,35195.2926553691,Czechia,-3969763.44140625,237,68,219,,,,
9960487,450295,?,12.1,9.4,22.1199147226,0.5470183837,0.4249564303,0.1220619534,520900000000,52296.639712496,Sweden,428443.411377388,69,27,100,,,,
9850845,93028,?,9,12.8,105.8911832997,0.0849929118,0.1208788079,-0.0358858961,289000000000,29337.584745268,Hungary,-817524.095745174,230,80,232,,,,
7101510,110879,?,8.7,14.5,64.0473849872,0.1358369276,0.2263948794,-0.0905579518,153100000000,21558.7952421386,Bulgaria,-238066.285988529,213,110,241,,,,
5605948,43094,?,10.5,10.3,130.0865085627,0.0807155186,0.0791780801,0.0015374384,286800000000,51159.9465424938,Denmark,33276094.119837,15,32,193,,,,
5518371,338145,?,10.7,10,16.3195404338,0.655655718,0.6127623532,0.0428933647,244000000000,44215.9470611889,Finland,1030834.19411976,43,44,137,,,,
5445829,49035,?,9.7,9.9,111.0600387478,0.087340146,0.0891409738,-0.0018008278,179400000000,32942.6428923861,Slovakia,-18293055.9804166,244,74,212,,,,
5011102,70273,?,14.1,6.6,71.3090660709,0.1977308185,0.0925548512,0.1051759673,357200000000,71281.7260554664,Ireland,677737.775058273,54,13,111,,,,
4292095,56594,?,8.9,12.2,75.8401067251,0.1173521555,0.1608647525,-0.043512597,101300000000,23601.5279251741,Croatia,-542406.786885039,222,102,234,,,,
2823859,65300,?,9.9,14.6,43.2443950995,0.228931402,0.337616007,-0.108684605,91240000000,32310.3951011718,Lithuania,-297285.849271494,216,76,243,,,,
1972126,20273,?,8.2,11.6,97.2784491688,0.084294107,0.1192453221,-0.0349512151,71080000000,36042.3218394768,Slovenia,-1031217.99205502,232,65,229,,,,
1944643,64589,?,9.7,14.5,30.1079595597,0.3221739414,0.4816002217,-0.1594262803,53910000000,27722.3120130533,Latvia,-173887.968539665,211,91,246,,,,
1251581,45228,?,10.1,12.6,27.6727027505,0.3649806125,0.4553223483,-0.0903417358,41560000000,33206.0010498721,Estonia,-367559.918634361,219,72,240,,,,
1221549,9251,?,11.3,6.8,132.045076208,0.0855768373,0.0514975658,0.0340792715,31590000000,25860.6081295142,Cyprus,758836.882499319,51,95,144,,,,
594130,2586,?,11.5,7.3,229.7486465584,0.0500547018,0.0317738542,0.0182808476,6273000000,10558.2953225725,Luxembourg,577560.490553552,58,157,168,,,,
416338,316,?,10.1,9.4,1317.5253164557,0.0076658869,0.0071345878,0.0005312991,9310000000,22361.6388607333,Malta,42088607.5949369,9,107,202,,,,
3198,12173,0,10.9,4.9,0.2627125606,41.4902126305,18.6515634761,22.8386491544,206400000,64540.3377110694,Falkland Islands (Islas Malvinas),2825.926230344,190,17,2,,,,
50730,1393,0,14.3,8.8,36.4178033022,0.3926650897,0.2416400552,0.1510250345,2001000000,39444.1159077469,Faroe Islands,261176.009919546,80,56,93,,,,
920938,18274,0,18.6,6.1,50.3960818649,0.3690763113,0.1210411559,0.2480351555,8652000000,9394.7692461382,Fiji,37876.7648024179,131,161,69,,,,
5518371,303815,?,10.7,10,18.1635896845,0.589090603,0.5505519654,0.0385386376,244000000000,44215.9470611889,Finland,1147314.74275858,42,44,141,,,,
67106161,640427,3374,12.2,9.3,104.7834663435,0.1164305823,0.0887544603,0.027676122,2836000000000,42261.3953434171,France,1526998.44710217,37,49,155,,,,
287881,3827,340,14.8,5.2,75.223673896,0.1967465724,0.0691271741,0.1276193983,5490000000,19070.3797749765,French Polynesia,149431.669715177,95,119,97,,,,
1772255,257667,10000,34.2,13,6.878082952,4.9723157221,1.8900615318,3.0822541903,36730000000,20725.0085343249,Gabon,6723.9777301884,171,114,9,,,,
2051363,10120,1180,29.4,7,202.7038537549,0.1450391764,0.0345331372,0.1105060392,3602000000,1755.905707571,Gambia The,15889.6809711995,155,230,108,,,,
4926330,69700,0,12.3,10.9,70.6790530846,0.1740261006,0.1542182517,0.0198078488,39700000000,8058.7374374027,Georgia,406845.665095027,72,174,166,,,,
27499924,227533,11000,30.5,7,120.8612552904,0.2523554792,0.057917651,0.1944378283,133700000000,4861.8316181528,Ghana,25004.556271511,142,193,81,,,,
29396,6.5,0,14,8.5,4522.4615384615,0.0030956593,0.0018795074,0.0012161519,2044000000,69533.2698326303,Gibraltar,57174825.1748247,7,15,196,,,,
10768477,130647,1310,8.4,11.3,82.4242194616,0.1019117931,0.1370956264,-0.0351838333,298700000000,27738.3700592015,Greece,-788383.965954034,229,89,230,,,,
57713,2166086,?,14.4,8.7,0.0266439098,540.4612201472,326.5286538389,213.9325663083,2413000000,41810.3373590006,Greenland,195.4369925089,205,52,1,,,,
111724,344,0,15.5,8.2,324.7790697674,0.0477247503,0.0252479324,0.0224768179,1606000000,14374.7091045791,Grenada,639534.883720848,55,136,163,,,,
167358,544,0,19.7,6,307.6433823529,0.0640351821,0.0195031011,0.0445320809,5793000000,34614.419388377,Guam,777291.756118402,49,71,136,,,,
15460732,107159,1730,24.1,4.7,144.2784273836,0.1670381389,0.0325759026,0.1344622363,137800000000,8912.9027008553,Guatemala,66285.5456238373,108,165,96,,,,
66502,78,0,9.8,9,852.5897435897,0.0114943911,0.0105560735,0.0009383176,3465000000,52103.6961294397,Guernsey,55528846.1538433,8,29,200,,,,
12413867,245717,140,35.1,9,50.5209936634,0.6947606817,0.1781437645,0.5166169172,26470000000,2132.29286249,Guinea,4127.4158695161,182,222,44,,,,
1792338,28120,8005,32.5,13.9,63.7389046942,0.5098926653,0.2180771707,0.2918154946,3137000000,1750.2279146009,Guinea-Bissau,5997.7209807461,174,231,62,,,,
737718,196849,18120,15.4,7.4,3.7476339732,4.1092593647,1.9745791753,2.1346801895,6287000000,8522.2266502919,Guyana,3992.273265243,183,171,15,,,,
9038741,11890,200,22.4,5.3,760.1968881413,0.0294660506,0.0069718781,0.0224941726,46200000000,5111.3313236877,Honduras,227229.13254541,84,191,161,,,,
7191503,1073,35,8.9,7.4,6702.2395153775,0.0013279143,0.0011041086,0.0002238058,454900000000,63255.2054834713,Hong Kong,282634358.49643,4,18,204,,,,
9850845,89608,3420,9,12.8,109.9326511026,0.0818683067,0.1164349251,-0.0345666184,289000000000,29337.584745268,Hungary,-848725.912630135,231,80,227,,,,
339747,100250,2750,13.7,6.4,3.3889975062,4.0424933848,1.888464063,2.1540293218,17620000000,51862.1209311635,Iceland,24076.7943153364,143,30,14,,,,
1281935911,2973193,314070,19,7.3,431.1647145005,0.0440666858,0.0169308845,0.0271358013,9459000000000,7378.6840034938,India,271916.938611609,77,178,156,,,,
260580739,1811569,93000,16.2,6.5,143.8425690658,0.1126231275,0.0451882919,0.0674348356,3243000000000,12445.2790042936,Indonesia,184552.67058951,91,145,125,,,,
82021564,1531595,116600,17.9,5.3,53.5530371933,0.3342480826,0.0989673094,0.2352807732,1645000000000,20055.7014494383,Iran,85241.5655285311,105,116,73,,,,
39192111,437367,950,30.4,3.8,89.6092091996,0.3392508457,0.0424063557,0.29684449,658800000000,16809.5053619337,Iraq,56627.3113729065,114,127,61,,,,
5011102,68883,1390,14.1,6.6,72.7480220083,0.1938197027,0.0907241162,0.1030955866,357200000000,71281.7260554664,Ireland,691413.943449691,53,13,112,,,,
88815,572,0,11,10.2,155.270979021,0.070843889,0.0656916061,0.0051522828,6792000000,76473.5686539436,Isle of Man,14842657.3426593,17,9,186,,,,
8299706,20330,440,18.1,5.2,408.2491883915,0.0443356668,0.0127373186,0.0315983482,316500000000,38133.8808868651,Israel,1206831.46684348,41,58,149,,,,
62137802,294140,7200,8.6,10.4,211.2524716122,0.0407095829,0.0492301932,-0.0085206104,2311000000000,37191.531171315,Italy,-4364890.49054581,242,59,216,,,,
2990561,10831,160,17.9,6.8,276.1112547318,0.0648289401,0.0246277538,0.0402011863,26060000000,8714.0840798767,Jamaica,216761.863885869,87,168,140,,,,
126451398,364485,13430,7.7,9.8,346.9316926623,0.0221945708,0.0282476355,-0.0060530648,5429000000000,42933.4913323774,Japan,-7092851.81897327,243,47,213,,,,
98840,116,0,12.4,7.8,852.0689655172,0.0145528126,0.0091541886,0.005398624,5569000000,56343.5855928774,Jersey,10436656.6716637,21,23,185,,,,
10248069,88802,540,23.9,3.4,115.4035832526,0.2070992887,0.0294618235,0.1776374652,89100000000,8694.3208520552,Jordan,48944.1844036567,123,169,84,,,,
18556698,2699700,25200,18.1,8.1,6.8736148461,2.6332578134,1.1784192425,1.454838571,477600000000,25737.3375370985,Kazakhstan,17690.8545394087,148,97,22,,,,
47615739,569140,11227,23.9,6.7,83.6626120111,0.2856712147,0.0800835623,0.2055876524,163100000000,3425.3379959093,Kenya,16661.2048696883,151,207,79,,,,
108145,811,0,21.2,7,133.3477188656,0.1589828471,0.0524943363,0.1064885108,226000000,2089.786860234,Kiribati,19624.5289244719,147,223,109,,,,
25248140,120408,130,14.6,9.3,209.6882266959,0.0696271805,0.0443515602,0.0252756203,40000000000,1584.2751188801,Korea North,62679.9698634703,112,237,160,,,,
51181299,96920,2800,8.3,6,528.0777858027,0.0157173815,0.0113619625,0.004355419,2029000000000,39643.3861516489,Korea South,9102083.29594963,23,55,189,,,,
4437590,17818,0,19.2,2.2,249.0509597037,0.0770926561,0.0088335335,0.0682591226,291500000000,65688.8085650094,Kuwait,962344.75381813,44,16,123,,,,
5789122,191801,8150,22.1,6.5,30.1829604642,0.7322012043,0.2153532954,0.5168479089,22970000000,3967.7864795387,Kyrgyzstan,7676.8937463015,167,201,43,,,,
7126706,230800,6000,23.6,7.4,30.8782755633,0.7642913851,0.2396506886,0.5246406966,49210000000,6905.0133399638,Laos,13161.4138691151,159,179,42,,,,
1944643,62249,2340,9.7,14.5,31.2397468232,0.3105018762,0.4641522891,-0.153650413,53910000000,27722.3120130533,Latvia,-180424.585133654,212,91,245,,,,
6229794,10230,170,14.3,5,608.9730205279,0.0234821569,0.0082105444,0.0152716125,87680000000,14074.3016542762,Lebanon,921598.923680151,46,139,173,,,,
1958042,30355,0,24.6,15,64.504760336,0.3813672025,0.2325409772,0.1488262254,6955000000,3552.0177810282,Lesotho,23866.8807994202,145,206,94,,,,
4689021,96320,15049,38.3,7.6,48.6816964286,0.7867433309,0.1561161701,0.6306271608,6099000000,1300.6979495293,Liberia,2062.5466685436,194,241,37,,,,
6653210,1759540,0,17.5,3.6,3.7812212283,4.6281343892,0.9520733601,3.6760610292,64400000000,9679.5381477512,Libya,2633.1277067926,192,160,7,,,,
38244,160,0,10.4,7.4,239.025,0.0435100931,0.0309591047,0.0125509884,4978000000,130164.208764774,Liechtenstein,10370833.3333333,22,4,174,,,,
2823859,62680,2620,9.9,14.6,45.0519942565,0.2197460992,0.3240700049,-0.1043239057,91240000000,32310.3951011718,Lithuania,-309712.283941115,218,76,242,,,,
594130,2586,0,11.5,7.3,229.7486465584,0.0500547018,0.0317738542,0.0182808476,62730000000,105582.953225725,Luxembourg,5775604.90553552,26,6,168,,,,
648550,28.2,0,8.6,4.5,22998.2269503546,0.0003739419,0.0001956673,0.0001782746,71780000000,110677.665561638,Macau,620826846.566338,1,5,205,,,,
2103721,25433,280,11.4,9.2,82.716195494,0.1378206521,0.1112236841,0.0265969679,30960000000,14716.7804095695,Macedonia,553325.493363737,59,135,157,,,,
25054161,581540,5501,31.6,6.5,43.0824380094,0.733477525,0.1508735415,0.5826039834,39730000000,1585.764536278,Madagascar,2721.8566666017,191,235,39,,,,
19196246,94080,24404,41,7.9,204.0417304422,0.2009392878,0.0387175701,0.1622217177,22370000000,1165.332013353,Malawi,7183.5758472582,169,242,90,,,,
31381992,328657,1190,19.1,5.1,95.4855426782,0.2000302817,0.0534112271,0.1466190546,930800000000,29660.3223912618,Malaysia,202295.141395715,89,79,95,,,,
392709,298,0,16.1,4,1317.8154362416,0.0122171888,0.0030353264,0.0091818624,6887000000,17537.1585576088,Maldives,1909978.36818458,35,123,178,,,,
17885245,1220190,20002,43.9,9.8,14.6577541203,2.9950018018,0.6685881015,2.3264137002,41000000000,2292.3924162068,Mali,985.3760816422,201,220,12,,,,
416338,316,0,10.1,9.4,1317.5253164557,0.0076658869,0.0071345878,0.0005312991,19310000000,46380.5850054523,Malta,87296564.1952987,6,39,202,,,,
74539,181,0,24.4,4.2,411.817679558,0.0592495204,0.0101986879,0.0490508325,189000000,2535.5853982479,Marshall Islands,51693.0146053266,121,216,132,,,,
3758571,1030700,0,30.4,7.9,3.646619773,8.3364874575,2.1663898327,6.1700976248,17250000000,4589.5102154516,Mauritania,743.8310533356,202,194,6,,,,
1356388,2030,0,13,7.1,668.1714285714,0.0194560848,0.0106260156,0.0088300693,27460000000,20244.9446618519,Mauritius,2292727.72814551,32,115,180,,,,
124574795,1943945,20430,18.3,5.3,64.0834977327,0.2855649371,0.0827045993,0.2028603378,2458000000000,19731.1181607804,Mexico,97264.5435323083,103,117,80,,,,
104196,702,0,20,4.2,148.4273504274,0.1347460555,0.0282966717,0.1064493839,347000000,3330.262198165,Micronesia Federated States of,31284.9363482379,135,210,110,,,,
3474121,32891,960,11.5,12.6,105.6252774315,0.1088754537,0.1192896275,-0.0104141738,20080000000,5779.879284573,Moldova,-555001.22995782,224,187,220,,,,
30645,2,0,6.6,9.8,15322.5,0.0004307391,0.0006395823,-0.0002088432,7672000000,250350.791319954,Monaco,-1198750000,248,2,209,,,,
3068243,1553556,10560,18.9,6.3,1.9749806251,9.5697141328,3.1899047109,6.3798094219,39700000000,12939.00124599,Mongolia,2028.1172038869,195,144,5,,,,
642550,13452,360,10,9.7,47.7661314303,0.2093533577,0.203072757,0.0062806007,11050000000,17197.1052836355,Montenegro,2738130.63732945,31,125,182,,,,
5292,102,0,10.8,6.2,51.8823529412,0.2081632653,0.1195011338,0.0886621315,167400000,31632.6530612245,Montserrat,356777.4936063,73,78,117,,,,
33986655,446300,250,17.7,4.9,76.1520389872,0.2324297581,0.0643449613,0.1680847968,298600000000,8785.8013682135,Morocco,52270.0537754679,120,167,87,,,,
26573706,786380,13000,38.1,11.6,33.7924489433,1.1274708165,0.3432719546,0.7841988618,36730000000,1382.1933606099,Mozambique,1762.5546629502,196,239,33,,,,
2484780,823290,1002,27.3,7.9,3.0181102649,9.0453951658,2.6175319344,6.4278632314,26510000000,10668.9525833273,Namibia,1659.7976962614,197,155,4,,,,
11359,21,0,24,5.9,540.9047619048,0.044370103,0.0109076503,0.0334624527,159000000,13997.711066115,Nauru,418310.970797188,70,140,146,,,,
29384297,143351,3830,19.5,5.6,204.9814580994,0.0951305556,0.0273195442,0.0678110114,78590000000,2674.5577748551,Nepal,39441.3490979047,130,215,124,,,,
